English word,Greek words,Synsets
Cookery,"ὀψοποιία, μαγειρική, ὀψοποιική",the act of preparing something (as food) by the application of heat
Cooking,ἕψησις,the act of preparing something (as food) by the application of heat
,,prepare a hot meal
,,prepare for eating by applying heat
,,transform and make suitable for consumption by heating
,,"tamper, with the purpose of deception"
,,transform by heating
Cool,"ἀμβλύνεσθαι, καταψύχειν, ἀμβλύνειν, ἀπαμβλύνεσθαι, καταμβλύνεσθαι, ἀπαμβλύνειν, ψύχειν, ἀναψύχειν, καταμβλύνειν",the quality of being at a refreshingly low temperature
,,great coolness and composure under strain
,,make cool or cooler
,,loose heat
,,lose intensity
,,neither warm nor very cold; giving relief from heat
,,marked by calm self-control (especially in trying circumstances); unemotional
,,(color) inducing the impression of coolness; used especially of greens and blues and violets
,,psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike
,,(used of a number or sum) without exaggeration or qualification
,,fashionable and attractive at the time; often skilled or socially adept
Coolly,"ἀναιδῶς, ἡσυχῆ, ἡσύχως, ἀπροθύμως, ψυχρῶς",in a composed and unconcerned manner
Coolness,"ἀναίδεια, διαφορά, ψῦχος, ἡσυχία, ἡσυχαῖον, ψυχρότης, νεῖκος",calm and unruffled self-assurance
,,the property of being moderately cold
,,fearless self-possession in the face of danger
,,a lack of affection or enthusiasm
Coop,"συνείργειν, εἴργειν, κατείργειν",a farm building for housing poultry
,,an enclosure made or wire or metal bars in which birds or animals can be kept
Co-ordinate,ἀντίστροφος,a number that identifies a position relative to an axis
,,bring order and organization to
,,"bring into common action, movement, or condition"
,,be co-ordinated
,,bring (components or parts) into proper or desirable coordination correlation
Coot,φαλαρίς,slate-black slow-flying birds somewhat resembling ducks
Copious,"ἐπίρρυτος, ἄφθονος, πολύς",large in number or quantity (especially of discourse)
,,affording an abundant supply
Copiously,"εὐπόρως, ἀφθόνως",in an abundant manner
Copiousness,"πλῆθος, εὐπορία, ἀφθονία, περιουσία",the property of a more than adequate quantity or supply
Copper,"χαλκήλατος, εὔχαλκος, χάλκεος, πάγχαλκος, χαλκοῦς, χαλκήρης",a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor
,,a copper penny
,,uncomplimentary terms for a policeman
,,a reddish-brown color resembling the color of polished copper
,,any of various small butterflies of the family Lycaenidae having coppery wings
,,coat with a layer of copper
Coppersmith,χαλκεύς,someone who makes articles from copper
Coppice,"λόχμη, δρυμός",a dense growth of bushes
Copy,"ἀπογράφεσθαι, ἐκγράφεσθαι, ἐκμιμεῖσθαι, μιμεῖσθαι, ἀναγράφειν",a reproduction of a written record (e.g. of a legal or school record)
,,a thing made to be similar or identical to another thing
,,matter to be printed; exclusive of graphical materials
,,material suitable for a journalistic account
,,copy down as is
,,reproduce someone's behavior or looks
,,reproduce or make an exact copy of
,,make a replica of
Coquet,"θρύπτεσθαι, τρυφᾶν","talk or behave amorously, without serious intentions"
Coquetry,τρυφή,playful behavior intended to arouse sexual interest
Coracle,πλοῖον,a small rounded boat made of hides stretched over a wicker frame; still used in some parts of Great Britain
Cord,δεῖν,a line made of twisted fibers or threads
,,a unit of amount of wood cut for burning; 128 cubic feet
,,a light insulated conductor for household use
,,a cut pile fabric with vertical ribs; usually made of cotton
,,stack in cords
,,bind or tie with a cord
Cordial,"σφοδρός, φιλόφρων, πρόθυμος, πρόφρων",strong highly flavored sweet liquor usually drunk after a meal
,,diffusing warmth and friendliness
,,politely warm and friendly
,,sincerely or intensely felt
Cordiality,"προθυμία, φιλοφροσύνη",a cordial disposition
Cordially,"προθύμως, σφοδρῶς, φιλοφρόνως",in a hearty manner
Core,μέσον,a small group of indispensable persons or things
,,the center of an object
,,the central part of the Earth
,,the choicest or most essential or most vital part of some idea or experience
,,a cylindrical sample of soil or rock obtained with a hollow drill
,,an organization founded by James Leonard Farmer in 1942 to work for racial equality
,,the central meaning or theme of a speech or literary work
,,(computer science) a tiny ferrite toroid formerly used in a random access memory to store one bit of data; now superseded by semiconductor memories
,,the chamber of a nuclear reactor containing the fissile material where the reaction takes place
,,a bar of magnetic material (as soft iron) that passes through a coil and serves to increase the inductance of the coil
,,remove the core or center from
Cork,φελλός,outer bark of the cork oak; used for stoppers for bottles etc.
,,(botany) outer tissue of bark; a protective layer of dead cells
,,a port city in southern Ireland
,,the plug in the mouth of a bottle (especially a wine bottle)
,,a small float usually made of cork; attached to a fishing line
,,close a bottle with a cork
,,stuff with cork
Corn,"πύρινος, σιτηγία, τά, ἄλευρα, στάχυς, καρπός, ἄλφιτον, σιτηγεῖν, σιτοπομπία, πυρός, κριθή, σιτωνία, σῖτος",tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
,,the dried grains or kernels or corn used as animal feed or ground for meal
,,ears of corn that can be prepared and served for human food
,,a hard thickening of the skin (especially on the top or sides of the toes) caused by the pressure of ill-fitting shoes
,,(Great Britain) any of various cereal plants (especially the dominant crop of the region--wheat in Great Britain or oats in Scotland and Ireland)
,,whiskey distilled from a mash of not less than 80 percent corn
,,something sentimental or trite
,,feed (cattle) with corn
,,preserve with salt
Cornel,κρανέϊνος,a tree of shrub of the genus Cornus often having showy bracts resembling flowers
Corner,"τρίγωνος, γωνία, κάμπτειν, συνωνεῖσθαι, μυχός",a place off to the side of an area
,,the point where two lines meet or intersect
,,an interior angle formed by two meeting walls
,,the intersection of two streets
,,the point where three areas or surfaces meet or intersect
,,a small concavity
,,a temporary monopoly on a kind of commercial trade
,,a predicament from which a skillful or graceful escape is impossible
,,a projecting part where two sides or edges meet
,,a remote area
,,(architecture) solid exterior angle of a building; especially one formed by a cornerstone
,,gain control over
,,force a person or an animal into a position from which he cannot escape
,,turn a corner
Cornet,φύλαρχος,a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
Corollary,ἀκόλουθον,a practical consequence that follows naturally
,,(logic) an inference that follows directly from the proof of another proposition
Corporal,"σώματος, ταξίαρχος, πληγαί, σῶμα",a noncommissioned officer in the Army or Air Force or Marines
,,affecting or characteristic of the body as opposed to the mind or spirit
,,possessing or existing in bodily form; - Shakespeare
Corporate,"κοινός, πολιτικός",of or belonging to a corporation
,,possessing or existing in bodily form; - Shakespeare
,,done by or characteristic of individuals acting together
,,organized and maintained as a legal corporation
Corporation,ἀρχή,a business firm whose articles of incorporation have been approved in some state
,,slang for a paunch
Corporeal,σωματοειδής,having material or physical form or substance;  - Benjamin Jowett
,,affecting or characteristic of the body as opposed to the mind or spirit
Corps,"λόχος, τάξις",an army unit usually consisting of two or more divisions and their support
,,a body of people associated together
,,a business firm whose articles of incorporation have been approved in some state
Corpse,"πέσημα, πτῶμα, νεκρός, νέκυς, δέμας, σῶμα",the dead body of a human being
Corpulence,"παχύτης, πάχος, πολυσαρκία",the property of excessive fatness
Corpulent,"σάρκινος, εὐτραφής, παχύς, πίων, γαστρώδης",excessively fat
Correct,"ῥυθμίζειν, μεθαρμόζειν, μεταγράφειν, διορθοῦν, κολάζειν, ἐξορθοῦν, ἀνορθοῦν, ἐπανορθοῦν, σωφρονίζειν, ἁρμόζειν, νουθεττεῖν",make right or correct
,,make reparations or amends for
,,censure severely
,,adjust for
,,punish in order to gain control or enforce obedience
,,go down in value
,,alter or regulate so as to achieve accuracy or conform to a standard
,,treat a defect
,,free from error; especially conforming to fact or truth
,,socially right or correct
,,in accord with accepted standards of usage or procedure
,,correct in opinion or judgment
Correction,"κόλασις, ἐπανόρθωμα, νουθέτησις, νουθέτημα",the act of offering an improvement to replace a mistake; setting right
,,a quantity that is added or subtracted in order to increase the accuracy of a scientific measure
,,something substituted for an error
,,a rebuke for making a mistake
,,a drop in stock market activity or stock prices following a period of increases
,,the act of punishing
,,treatment of a specific defect
Corrective,κολαστικός,a device for treating injury or disease
,,designed to promote discipline
,,tending or intended to correct or counteract or restore to a normal condition
Correctly,"προσηκόντως, πρεπόντως, εὐπρεπῶς, ὀρθῶς, ἀκριβῶς, ἀληθῶς",in an accurate manner
Correctness,"ναμέρτεια, ἀκρίβεια, ὀρθότης",conformity to fact or truth
,,the quality of conformity to social expectations
Correspond,"συμβαίνειν, συμβάλλεσθαι, συμφέρειν, ὁμορροθεῖν, συμφωνεῖν, γράφειν, συντρέχειν, κοινωνεῖν, συμπίτνειν, συμπίπτειν","be compatible, similar or consistent; coincide in their characteristics"
,,"be equivalent or parallel, in mathematics"
,,exchange messages
,,take the place of or be parallel or equivalent to
Correspondence,"συμφωνία, ὁμοιότης, τά, γραφαί, ἐπιστολαί, γράμματα",communication by the exchange of letters
,,compatibility of observations
,,the relation of corresponding in degree or size or amount
,,(mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
,,similarity by virtue of corresponding
Correspondent,"συνήγορος, συνῳδός, σύμμετρος, σύννομος, προσῳδός, σύμφωνος",someone who communicates by means of letters
,,a journalist employed to provide news stories for newspapers or broadcast media
,,similar or equivalent in some respects though otherwise dissimilar
Corresponding,"ἱκνούμενος, ἴσος, παραπλήσιος, ὅμοιος","be compatible, similar or consistent; coincide in their characteristics"
,,"be equivalent or parallel, in mathematics"
,,exchange messages
,,take the place of or be parallel or equivalent to
,,accompanying
,,similar especially in position or purpose
,,conforming in every respect
Correspondingly,ὁμοίως,in a corresponding manner
Corridor,δίοδος,an enclosed passageway; rooms usually open onto it
Corroborate,"βεβαιοῦν, ἐπαληθεύειν",establish or strengthen as with new evidence or facts
,,give evidence for
,,support with evidence or authority or make more certain or confirm
Corroboration,βεβαίωσις,confirmation that some fact or statement is true through the use of documentary evidence
Corrode,"καταβιβρώσκειν, διαφθείρειν","cause to deteriorate due to the action of water, air, or an acid"
,,"become destroyed by water, air, or a corrosive such as an acid"
Corrupt,"πονηρός, κακός, δωροδόκος, νοσεῖν, φιλάργυρος, σαθρός, μοχθηρός, διεφθαρμένος, ὕπουλος",corrupt morally or by intemperance or sensuality
,,make illegal payments to in exchange for favors or influence
,,place under suspicion or cast doubt upon
,,alter from the original
,,lacking in integrity
,,not straight; dishonest or immoral or evasive
,,containing errors or alterations
,,touched by rot or decay
Corrupted,καταργυρωμένος,corrupt morally or by intemperance or sensuality
,,make illegal payments to in exchange for favors or influence
,,place under suspicion or cast doubt upon
,,alter from the original
,,containing errors or alterations
,,ruined in character or quality
Corrupter,"λυμεών, διαφθορεύς, λωβητής, αἰσχυντήρ",lacking in integrity
,,not straight; dishonest or immoral or evasive
,,containing errors or alterations
,,touched by rot or decay
Corruptibility,"φθορά, δωροδοκία",the capability of being corrupted
Corruptible,"θνητός, δωροδόκος",capable of being corrupted
Corruption,"φθορά, δωροδόκημα, εὐρώς, κακία, πονηρία, δωροδοκία, διαφθορά, δωροδοκεῖν, μοχθηρία",lack of integrity or honesty (especially susceptibility to bribery); use of a position of trust for dishonest gain
,,in a state of progressive putrefaction
,,decay of matter (as by rot or oxidation)
,,moral perversion; impairment of virtue and moral principles
,,destroying someone's (or some group's) honesty or loyalty; undermining moral integrity
,,inducement (as of a public official) by improper means (as bribery) to violate duty (as by commiting a felony)
Corsair,"λῃστής, λῃστεύειν",a pirate along the Barbary Coast
,,a swift pirate ship (often operating with official sanction)
Corselet,θώραξ,a piece of body armor for the trunk; usually consists of a breastplate and back piece
Cortege,πομπή,a funeral procession
,,the group following and attending to some important person
Coruscate,"στίλβειν, ἐκλάμπειν, ἀστράπτειν",reflect brightly
,,be lively or brilliant or exhibit virtuosity
Coruscation,"αὐγή, σέλας, ἀγώνισμα, μαρμαρυγή",the occurrence of a small flash or spark
,,a sudden or striking display of brilliance
Cost,"ἀδάπανος, τιμᾶσθαι, ἀδαπάνως, γίγνεσθαι",the total spent for goods or services including money and time and labor
,,the property of having material worth (often indicated by the amount of money something would bring if sold)
,,value measured by what must be given or done or undergone to obtain something
,,be priced at
,,"require to lose, suffer, or sacrifice"
Costliness,πολυτέλεια,the quality possessed by something with a great price or value
Costly,"πολυτελής, τίμιος, πολυτελῶς, δαπανηρός",entailing great loss or sacrifice
,,having a high price
Costume,"στολή, τά, ἐσθής, κόσμος, εἷμα, ἐσθήματα, σκευή",the attire worn in a play or at a fancy dress ball
,,unusual or period attire not characteristic of or appropriate to the time and place
,,the prevalent fashion of dress (including accessories and hair style as well as garments)
,,the attire characteristic of a country or a time or a social class
,,dress in a costume
,,furnish with costumes; as for a film or play
Coterie,"στάσίς, ἑταιρεία",an exclusive circle of people with a common purpose
Cottage,οἰκίδιον,a small house with a single story
Couch,"κλίνη, στρωμνή, λέκτρον, λέχος, εὐνή",an upholstered seat for more than one person
,,a flat coat of paint or varnish used by artists as a primer
,,a narrow bed on which a patient lies during psychiatric or psychoanalytic treatment
,,formulate in a particular style or language
Cough,βήσσειν,a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
,,"exhale abruptly, as when one has a chest cold or congestion"
Council,"βουλή, σύνοδος, γερουσία, σύλλογος, συνέδριον, βουλευτικός",a body serving in an administrative capacity
,,(Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
,,a meeting of people for consultation
Councillor,"πρόβουλος, βουλευτής",a member of a council
Counsel,"νουθετεῖν, ὑποτίθεσθαι, συμβουλεύειν, αἰνεῖν, βουλεύειν, παραινεῖν, ἐπαινεῖν",a lawyer who pleads cases in court
,,something that provides direction or advice as to a decision or course of action
,,give advice to
Counsellor,"ἐξηγητής, σύμβουλος",someone who has supervisory duties at a summer camp
,,someone who gives advice about problems
,,a lawyer who pleads cases in court
Count,λόγος,the total number counted
,,the act of counting; reciting numbers in ascending order
,,a nobleman (in various countries) having rank equal to a British earl
,,determine the number or amount of
,,"have weight; have import, carry weight"
,,show consideration for; take into account
,,name or recite the numbers in ascending order
,,put into a group
,,include as if by counting
,,have a certain value or carry a certain weight
,,have faith or confidence in
,,take account of
Countenance,"ἀγαπᾶν, αἰνεῖν, ἐπαινεῖν, στέργειν, εὐνοεῖν",the appearance conveyed by a person's face
,,formal and explicit approval
,,the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)
,,"consent to, give permission"
Counter,"ἐναντίος, ὕπνου, διαφωνεῖν, ἐναντιοῦσθαι",table consisting of a horizontal surface over which business is transacted
,,"game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games"
,,a calculator that keeps a record of the number of times something happens
,,a piece of furniture that stands at the side of a dining room; has shelves and drawers
,,a person who counts things
,,a quick reply to a question or remark (especially a witty or critical one)
,,(computer science) a register whose contents go through a regular series of states (usually states indicating consecutive integers)
,,a piece of leather forming the back of a shoe or boot
,,a return punch (especially by a boxer)
,,speak in response
,,act in advance of; deal with ahead of time
,,indicating opposition or resistance
,,in the opposite direction
Counteract,"ἐναντιοῦσθαι, ἀντιτείνειν, ἀνθίστασθαι, ἀκεῖσθαι, σφάλλειν",act in opposition to
,,oppose or check by a counteraction
,,oppose and mitigate the effects of by contrary actions
,,destroy property or hinder normal operations
Counterbalance,"ἀκεῖσθαι, ἀντιρρέπειν, ἐξιᾶσθαι, ἰᾶσθαι",a weight that balances another weight
,,equality of distribution
,,a compensating equivalent
,,adjust for
,,contrast with equal weight or force
,,oppose and mitigate the effects of by contrary actions
Countercharge,ἀντιγραφή,a charge brought by an accused person against the accuser
,,a retaliatory charge
Counterclaim,ἀντίληψις,a claim filed in opposition to another claim in a legal action
,,set up a claim in opposition to a previous claim
Counterfeit,"μίμημα, πλάσμα",a copy that is represented as the original
,,make a copy of with the intent to deceive
,,not genuine; imitating something superior
Countermand,"ἀπειπεῖν, ἀπαγορεύειν",a contrary command cancelling or reversing a previous command
,,cancel officially
Counterpane,"τά, φάρος, στρώματα, εἷμα, χλαῖνα, φᾶρος",decorative cover for a bed
Counterpart,ἀντίστροφος,a person or thing having the same function or characteristics as another
,,a duplicate copy
Counterpoise,"ἀντίρροπος, ἀντίσταθμος",a weight that balances another weight
,,constitute a counterweight or counterbalance to
Countersign,"σῆμα, σημεῖον, σύμβολον, σύνθημα",a secret word or phrase known only to a restricted group
,,a second confirming signature endorsing a document already signed
,,add one's signature to after another's to attest authenticity
Counting,λογισμός,the act of counting; reciting numbers in ascending order
,,determine the number or amount of
,,"have weight; have import, carry weight"
,,show consideration for; take into account
,,name or recite the numbers in ascending order
,,put into a group
,,include as if by counting
,,have a certain value or carry a certain weight
,,have faith or confidence in
,,take account of
Countless,"μυρίος, ἀνάριθμος, ἀναρίθμητος, ἀνήριθμος",too numerous to be counted
Country,"πάτριος, πατρῷος, πολιτικός, ἄγραυλος, ἀγρώστης, ἄγροικος, ἀρουραῖος",a politically organized body of people under a single government
,,the territory occupied by a nation
,,the people who live in a nation or country
,,an area outside of cities and towns
,,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
Countryman,"αὐτουργός, χωρίτης, πολίτης, δημότης, γαπόνος, γῄτης, ἀγρώστης, ἄγροικος, ἐργάτης, γεωργός",a man from your own country
,,a man who lives in the country and has country ways
Countrywoman,δημότις,a woman who lives in the country and has country ways
,,a woman from your own country
County,δῆμος,(United Kingdom) a region created by territorial division for the purpose of local government
,,(United States) the largest administrative district within a state
Couple,"ζευγνύναι, συνέρχεσθαι, συμμίγνυσθαι, συζευγνύναι, προστιθέναι, προσάπτειν",a pair who associate with one another
,,a pair of people who live together
,,a small indefinite number
,,two items of the same kind
,,(physics) something joined by two equal and opposite forces that act along parallel lines
,,"bring two objects, ideas, or people together"
,,link together
,,form a pair or pairs
,,engage in sexual intercourse
Couplet,ἐλεγεῖον,two items of the same kind
,,a stanza consisting of two successive lines of verse; usually rhymed
Courage,"θυμός, θρασύνεσθαι, ἀναθαρσεῖν, θράσος, τἀνδρεῖον, θαρσεῖν, ἀρετή, θαρσύνειν, λῆμα, εὐτολμία, θάρσος, ἀνδρεία, εὐψυχία, εὐανδρία, τόλμα",a quality of spirit that enables you to face danger or pain without showing fear
Courageous,"θρασύσπλαγχνος, ἀνδρεῖος, εὔτολμος, ἄλκιμος, τλήμων, εὔψυχος, εὐθαρσής, θρασύς, ταλαίφρων, τολμηρός, ἀγαθός, εὐκάρδιος, θαρσαλέος",possessing or displaying courage; able to face and deal with danger or fear without flinching; - Herman Melville; - William Wordsworth
Courageously,"εὐτόλμως, θαρσαλέως, θρασέως, εὐκαρδίως, εὐθαρσῶς, ἀνδρείως, θρασυσπλάγχνως, τολμηρῶς",in a courageous manner
Courier,"ἡμεροδρόμος, ἄγγελος, πομπός",a person who carries a message
Course,"ἵεσθαι, τρέχειν, θεῖν",education imparted in a series of lessons or meetings
,,a connected series of events or actions or developments
,,general line of orientation
,,a mode of action
,,a line or route along which something travels or moves
,,a body of students who are taught together
,,part of a meal served at one time
,,(construction) a layer of masonry
,,facility consisting of a circumscribed area of land or water laid out for a sport
,,move swiftly through or over
,,"move along, of liquids"
,,hunt with hounds
,,as might be expected
Court,"προκαλεῖσθαι, ζητεῖν, ὑπέρχεσθαι, θωπεύειν, κολακεύειν, ὑποτρέχειν, θηρεύειν, θεραπεύειν, μετέρχεσθαι, θηρᾶν, μνηστεύειν",an assembly (including one or more judges) to conduct judicial business
,,a room in which a lawcourt sits
,,the sovereign and his advisers who are the governing power of a state
,,a specially marked horizontal area within which a game is played
,,Australian woman tennis player who won many major championships (born in 1947)
,,the family and retinue of a sovereign or prince
,,a hotel for motorists; provides direct access from rooms to parking area
,,a tribunal that is presided over by a magistrate or by one or more judges who administer justice according to the laws
,,the residence of a sovereign or nobleman
,,an area wholly or partly surrounded by walls or buildings
,,respectful deference
,,make amorous advances towards
,,seek someone's favor
,,engage in social activities leading to marriage
Courteous,"ἀστεῖος, εὐπροσήγορος, ῥᾴδιος, φιλάνθρωπος, φιλόφρων, κοινός",exhibiting courtesy and politeness
,,characterized by courtesy and gracious good manners; -Francis Bacon
Courteously,"φιλοφρόνως, φιλανθρώπως",in a polite manner
Courtesan,ἑταίρα,a woman who cohabits with an important man
Courtesy,"εὐέπεια, ὑποκορίζεσθαι, φιλανθρωπία, εὐπροσηγορία",a courteous or respectful or considerate act
,,a courteous or respectful or considerate remark
,,a courteous manner
Courtier,"ἀκόλουθος, θεράπων, κόλαξ, διάκονος, πρόσπολος, ὀπάων",an attendant at the court of a sovereign
Courting,θεραπεία,a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)
,,make amorous advances towards
,,seek someone's favor
,,engage in social activities leading to marriage
Courtliness,σεμνόν,elegance suggestive of a royal court
Courtly,σεμνός,refined or imposing in manner or appearance; befitting a royal court
Courtship,"μνηστεύματα, τά",a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)
Courtyard,"ἑρκεῖος, αὐλή, αὔλειος",an area wholly or partly surrounded by walls or buildings
Cousin,"ἀνεψιά, ἀνεψιαδοῦς, αὐτανέψιος, ἀνεψιός",the child of your aunt or uncle
Cove,"κόλπος, μυχός, πτυχαί",a small inlet
,,small or narrow cave in the side of a cliff or mountain
Covenant,"συμβαίνειν, ὑπίσχεσθαι, συντίθεσθαι, ὑπισχνεῖσθαι, ὑφίστασθαι",a signed written agreement between two or more parties (nations) to perform some action
,,(Bible) an agreement between God and his people in which God makes certain promises and requires certain behavior from them in return
,,enter into a covenant
,,enter into a covenant or formal agreement
Cover,"σκέπη, ἔλυτρον, σάγμα, περίβολος, ἐπίθημα, πρόβλημα, ὑπόστεγος, στεγανῶς",a covering that serves to conceal or shelter something
,,bedding that keeps a person warm in bed
,,the act of concealing the existence of something by obstructing the view of it
,,"the protective covering on the front, back, and spine of a book"
,,a natural object that covers or envelops
,,covering for a hole (especially a hole in the top of a container)
,,fire that makes it difficult for the enemy to fire on your own individuals or formations
,,a fixed charge by a restaurant or nightclub over and above the charge for food and drink
,,a recording of a song that was first recorded or made popular by somebody else
,,a false identity and background (especially one created for an undercover agent)
,,provide with a covering or cause to be covered
,,form a cover over
,,"span an interval of distance, space or time"
,,provide for
,,act on verbally or in some form of artistic expression
,,include in scope; include as part of something broader; have as one's sphere or territory
,,travel across or pass over
,,"be responsible for reporting the details of, as in journalism"
,,hold within range of an aimed firearm
,,to take an action to protect against future problems
,,hide from view or knowledge
,,protect or defend (a position in a game)
,,maintain a check on; especially by patrolling
,,protect by insurance
,,make up for shortcomings or a feeling of inferiority by exaggerating good qualities
,,invest with a large or excessive amount of something
,,help out by taking someone's place and temporarily assuming his responsibilities
,,"be sufficient to meet, defray, or offset the charge or cost of"
,,spread over a surface to conceal or protect
,,cover as if with a shroud
,,"copulate with a female, used especially of horses"
,,put something on top of something else
,,play a higher card than the one previously played
,,be responsible for guarding an opponent in a game
,,sit on (eggs)
,,"clothe, as if for protection from the elements"
Covered,"καλυπτός, στρωτός, κατάστεγος, ἐστεγασμένος, στεγανός, κατηρεφής",provide with a covering or cause to be covered
,,form a cover over
,,"span an interval of distance, space or time"
,,provide for
,,act on verbally or in some form of artistic expression
,,include in scope; include as part of something broader; have as one's sphere or territory
,,travel across or pass over
,,"be responsible for reporting the details of, as in journalism"
,,hold within range of an aimed firearm
,,to take an action to protect against future problems
,,hide from view or knowledge
,,protect or defend (a position in a game)
,,maintain a check on; especially by patrolling
,,protect by insurance
,,make up for shortcomings or a feeling of inferiority by exaggerating good qualities
,,invest with a large or excessive amount of something
,,help out by taking someone's place and temporarily assuming his responsibilities
,,"be sufficient to meet, defray, or offset the charge or cost of"
,,spread over a surface to conceal or protect
,,cover as if with a shroud
,,"copulate with a female, used especially of horses"
,,put something on top of something else
,,play a higher card than the one previously played
,,be responsible for guarding an opponent in a game
,,sit on (eggs)
,,"clothe, as if for protection from the elements"
,,overlaid or spread or topped with or enclosed within something; sometimes used as a combining form
Covering,"καλυπτός, ἐπῆλυξ",a natural object that covers or envelops
,,an artifact that covers something else (usually to protect or shelter or conceal it)
,,the act of concealing the existence of something by obstructing the view of it
,,the act of protecting something by covering it
,,the work of applying something
,,provide with a covering or cause to be covered
,,form a cover over
,,"span an interval of distance, space or time"
,,provide for
,,act on verbally or in some form of artistic expression
,,include in scope; include as part of something broader; have as one's sphere or territory
,,travel across or pass over
,,"be responsible for reporting the details of, as in journalism"
,,hold within range of an aimed firearm
,,to take an action to protect against future problems
,,hide from view or knowledge
,,protect or defend (a position in a game)
,,maintain a check on; especially by patrolling
,,protect by insurance
,,make up for shortcomings or a feeling of inferiority by exaggerating good qualities
,,invest with a large or excessive amount of something
,,help out by taking someone's place and temporarily assuming his responsibilities
,,"be sufficient to meet, defray, or offset the charge or cost of"
,,spread over a surface to conceal or protect
,,cover as if with a shroud
,,"copulate with a female, used especially of horses"
,,put something on top of something else
,,play a higher card than the one previously played
,,be responsible for guarding an opponent in a game
,,sit on (eggs)
,,"clothe, as if for protection from the elements"
Coverlet,"τά, φάρος, στρώματα, εἷμα, χλαῖνα, φᾶρος",a decorative bedspread (usually quilted)
Covert,"κευθμών, ἄντρον, σῆκος, θαλάμαι",a flock of coots
,,a covering that serves to conceal or shelter something
,,secret or hidden; not openly practiced or engaged in or shown or avowed
,,(of a wife) being under the protection of her husband
Covertly,"κρύβδα, κρυφαίως, λαθραίως, κρύβδην, κρυφῆ, λάθρᾳ, κρύφα",in a covert manner
Covet,"ἐφίεσθαι, ἐπιθυμεῖν, γλίχεσθαι, ὀρέγεσθαι","wish, long, or crave for (something, especially the property of another person)"
Covetous,"φιλοκερδής, αἰσχροκερδής, φιλάργυρος, πλεονεκτικός",showing extreme cupidity; painfully desirous of another's advantages
,,immoderately desirous of acquiring e.g. wealth
Covetously,πλεονεκτικῶς,with jealousy; in an envious manner
,,in a greedy manner
Covetousness,"φιλοκέρδεια, αἰσχροκέρδεια, φιλαργυρία, φιλοχρηματία, πλεονεξία",an envious eagerness to possess something
,,extreme greed for material wealth
,,reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
Cow,"καταπλήσσειν, ἐκφοβεῖν, φοβεῖν, καταφοβεῖν, καταστρέφεσθαι, ἐκπλήσσειν",female of domestic cattle:
,,mature female of mammals of which the male is called `bull'
,,a large unpleasant woman
,,"subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats)"
Coward,"ἀποδειλιᾶν, μαλθακίζεσθαι, μαλακίζεσθαι, φιλοψυχεῖν, κακίζεσθαι",a person who shows fear or timidity
,,English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)
Cowardice,"ἀψυχία, ἀτολμία, κακότης, ἀνανδρία, κακανδρία, δειλία, φιλοψυχία, πονηρία, κακία, κάκη",the trait of lacking courage
Cowardly,"ἄνανδρος, δειλός, πονηρός, κακόσπλαγχνος, ἄσπλαγχνος, φοβερός, μαλακός, ἄψυχος, κακός, φιλόψυχος, ἀνάνδρως, φοβερῶς, μαλθακός, ἄναλκις, ἄτολμος, κακίζειν",lacking courage; ignobly timid and faint-hearted; - P.B.Shelley
Cower,"ὑποπτήσσειν, συσταλῆναι, συστέλλειν, πτώσσειν, καταπτήσσειν, πτήσσειν",crouch or curl up
,,show submission or fear
Cowering,ταπεινός,crouch or curl up
,,show submission or fear
Coxcomb,"κομᾶν, κομψός, καλλωπιστής",a conceited dandy who is overly impressed by his own accomplishments
,,a cap worn by court jesters; adorned with a strip of red
,,the fleshy red crest on the head of the domestic fowl and other gallinaceous birds
Coy,"αἰσχυντηλός, θρύπτεσθαι, καλλωπίζεσθαι",affectedly modest or shy especially in a playful or provocative way
,,showing marked and often playful or irritating evasiveness or reluctance to make a definite or committing statement
,,modestly or warily rejecting approaches or overtures
